day,lunch_start,lunch_end,dinner_start,dinner_end,notes
Monday,12:00 pm,4:00 pm,6:30 pm,11:00 pm,
Tuesday,12:00 pm,4:00 pm,6:30 pm,11:00 pm,
Wednesday,12:00 pm,4:00 pm,6:30 pm,11:00 pm,
Thursday,12:00 pm,4:00 pm,6:30 pm,11:00 pm,
Friday,12:00 pm,4:00 pm,6:30 pm,11:00 pm,
Saturday,12:00 pm,4:00 pm,6:30 pm,11:00 pm,
Sunday,12:00 pm,4:00 pm,6:30 pm,11:00 pm,
Special,All,,,,No special closure info available.
