day,pax,lunch_slot_1,lunch_slot_2,dinner_slot_1,dinner_slot_2,notes
Monday,All,Flexible,Take till last entry,Flexible,Take till last entry,
Tuesday,All,Flexible,Take till last entry,Flexible,Take till last entry,
Wednesday,All,Flexible,Take till last entry,Flexible,Take till last entry,
Thursday,All,Flexible,Take till last entry,Flexible,Take till last entry,
Friday,All,Flexible,Take till last entry,Flexible,Take till last entry,
Saturday,All,Flexible,Take till last entry,Flexible,Take till last entry,
Sunday,All,Flexible,Take till last entry,Flexible,Take till last entry,
Special,All,,,,No special closure info available.
